,분류,키워드
109,0,그 은행에 가서 은행장한테 확실히 묻기
110,0,오늘 할 일
111,0,작년 칠월 폭염주의보 횟수
112,0,내년 한글날 요일
113,0,임시보관중인 메일 모두 삭제하기
114,0,휴지통 메일 다 복원하기
115,0,에스앤유 도메인으로 온 메일 검색하기
116,0,커피 머신으로 아메리카노 내리기
117,0,현관문 닫혀있는지
118,0,스팸 메일 지우기
119,0,오늘 받은 메일 삭제하기
120,0,칠과 팔중 좋은 것
121,0,내일 저녁 여덟시 퍼스널트레이닝 일정 넣기
122,0,이새의 아들 숫자와 다윗의 순서
123,0,스팸 신고된 메일 총 수
124,0,대사관 관련메일 검색하기
125,0,내일 서리가 낄 확률
126,0,이번 주말 일정 여부
127,0,공휴일에 오는 메일만 알람 끄기
128,0,새 메일 중 정보라는 단어 든 이메일 수
129,0,부산역 주변 만두가 맛있는 중국집 가는 방법
130,0,오늘 만나 할 것
131,0,인턴 면접 이번 주 토요일인지
132,0,냉장실 온도
133,0,내일 아침에 비 오는지
134,0,내일 등산 시간
135,0,고등학교 때 한 특별한 활동
136,0,정수기 점검날짜
137,0,제주도 주말 날씨
138,0,내일 오후 비 오는지
139,0,오늘 받은 메일 다 지우기
140,0,오늘 등산해도 되는지
141,0,재난재해 정보
142,0,다음달 초등학교 동창회 날짜
143,0,내일 회계팀 회식 참여하기
144,0,결혼 기념일
145,0,이번주 토요일 몬트리올 여행일정을 취소하기
146,0,티비 볼륨 낮추기
147,0,지금 현관문 잠겼는지
148,0,집 안 온도
149,0,이번주 교문선도 일정 여부
150,0,이번 달 핸드폰 요금 내는 날
151,0,병원에 자주 찾아가기
152,0,강원도 눈 오는지
153,0,강수량
154,0,임시보관함 안 읽은 메일 수
155,0,오늘 날씨 맑은지
156,0,청자가 한 말의 의미
158,0,메일 첨부파일 들어갔는지
159,0,오늘 일정 중 가족 모임
160,0,천연기념물 발견 기사
161,0,작년 첫눈 온 날
162,0,내일 오전 일정 여부
163,0,경부 고속도로 노면 결빙 구간 위치
164,0,보름 전에 온 메일 찾기
165,0,매주 화요일과 목요일 오후 여섯시 폴댄스 일정 추가하기
166,0,래프팅하러 가기
167,0,가스 꺼져있는지
168,0,홍보 메일 스팸메일함으로 옮기기
169,0,라디오 틀기
170,0,크리스마스에 남자친구와 데이트 일정 추가하기
171,0,정체
172,0,올해 추석 날짜
173,0,이번달 생일인 친구
174,0,메가스터디에서 온 메일 확인하기
175,0,받은 메일함 비워졌는지
176,0,이번주 제주도행 비행기 시간
177,0,음주운전하지 않기
178,0,우리나라 최고 지진 세기
179,0,지운편지함 비었는지
180,0,친구들과 계모임 날짜
181,0,페이스북 메일 스팸처리 여부
182,0,마지막 한 주 알차게 보내기
183,0,거기서 보기
184,0,내일 옷 많이 겹쳐 입고 나가기
185,0,지금 쓰는 편지 내게 쓰기 모드로 바꾸기
186,0,안 팔고 가지고 있는 이유
187,0,공부 방법
188,0,아메리카라는 메일 검색하기
189,0,보일러 가동 상태
190,0,스피커 에코 넣기
191,0,과외 선생님 구하기
192,0,오늘 일찍 들어오기
193,0,롯데팀 순위 기사
194,0,귀에 물 들어갔는지
195,0,조명 다 끄기
196,0,내일 바람 많이 부는지
197,0,내일 아침 다섯시 알람 맞추기
198,0,사물함 자물쇠랑 운동화만 갖고가기
199,0,월요일 오후 여덟시 오빠랑 영화보기 일정 취소하기
200,0,서울 시정
201,0,내일 소나기 소식
202,0,이번주 주말 제주도 날씨
203,0,최초 교통법규
204,0,가스레인지 불 끄기
205,0,이번주 금요일 저녁 여섯시 회식장소
206,0,받은 편지함에 있는 메일 전부 삭제하기
207,0,이십삼일 업체 미팅 시간
208,0,오늘 안개 심한지
209,0,오늘 메일에서 뉴스 제목 있는 메일
210,0,내일 오후 열한시 남자친구랑 별보기 일정 추가하기
211,0,스탠드 꺼졌는지
212,0,독어 회화 수업 끝나는 시간
213,0,텔레비전 켜졌는지
214,0,전문 투자자들의 조언 듣기
215,0,내일 안개 양
216,0,내 위치 내일 일출 시간
217,0,오늘 새벽 비 그치는 시간
218,0,자기 소개서 이메일 회사에 보내기
219,0,보일러 꺼졌는지
220,0,이번주 수요일 강수확률
221,0,중부 상행선에서 교통이 통제되는 구간 상태
222,0,내일 오전 기온
223,0,마이클잭슨이 보낸 이메일 발신날짜
224,0,즐겨찾기 목록 메일 확인 여부
225,0,개강 일자
226,0,냉장고 온도 낮추기
227,0,내일 수업 일정
228,0,버스 타고 다니기
229,0,냉장고 전원 꺼졌는지
231,0,지지난주 주말 보낸 메일 수신 여부
232,0,국보법 폐지에 관한 기사
233,0,내일 비 오는지
234,0,오늘 오후 약속 있는지
235,0,전자레인지 일분 돌리기
236,0,작은 언니 생일
237,0,장마 끝나는 날
238,0,여기서 온 메일 전부 삭제하기
239,0,휴지통 비우기
240,0,아빠 생신 음력 사월 삼십일 입력하기
241,0,메일 재전송 하기
242,0,지금 대구 온도
243,0,이번주 대구 평균 기온
244,0,안방 화장실 조명 꺼져있는지
245,0,거래처 메일 그룹 추가하기
246,0,거실 온도
247,0,밥 먹을 장소 버거킹으로 입력하기
248,0,집에 있는 사람
249,0,교육학 인터넷 강의 들어본 적 있는지
250,0,김포공항 근처 롯데리아 위치
251,0,오늘 비 오는 시간대
252,0,이번 주 목요일 약속 여부
253,0,저번주 폭염주의보 내린 횟수
254,0,삼촌 내시였는지
255,0,서울 첫눈 시기
256,0,양보운전 안전운전 하기
257,0,어제 메일 검색하기
258,0,가스 벨브 잠겼는지
259,0,오늘 온 편지 중 첨부 파일이 든 메일 수
260,0,거실 불 제외하고 모든 불 켜기
261,0,이천이십년 오는 태풍
262,0,까불지 않기
263,0,발효음식 먹기
264,0,까쓰오븐 끄고 잠그기
265,0,올해 안 천이백선 도달 가능 여부
266,0,오늘 불쾌지수
267,0,직업 위험도 등급
268,0,오늘 기온
269,0,에어컨 제습 기능 틀기
270,0,거실 불 끄기
271,0,이글 읽기 전에 꾸욱 누르기
272,0,데스크탑 컴퓨터 켜져 있는지
273,0,주말 비 오는지
274,0,뒤따라오기
275,0,학교에서 온 메일 모두 보관함에 넣었는지
276,0,저녁 사주기
277,0,다다음주 화요일 일정 시작 시간
278,0,에어컨 송풍 기능 삼십분 틀기
279,0,너무 섭섭해하지 않기
280,0,꿩 먹고 알도 먹는 사람
281,0,오늘 전체 일정
282,0,집 습도
283,0,내일 모래 친구 만나기로 한 약속 취소하기
284,0,월남 파병 관련기사
285,0,내년 칠월 십일 한달 유럽 여행 일정 추가하기
286,0,내일 오후 김천 비 오는지
287,0,첫 월급 타면 부모님께 사드릴것
288,0,수유역 사번 출구로 나와 마을버스 타고 오기
289,0,이번주 수요일 강수량
290,0,작은 방 불 켜져있는지
291,0,스카이프 회의 시간
292,0,운전면허 시험 날짜
293,0,임시보관함에있는 메일들 모두 삭제하기
294,0,발표 준비 잘 해왔는지
295,0,미스터션샤인 재방송 시간 검색하기
296,0,오전 여섯시 집안 모든 불 켜기
297,0,올해 폭설 오는 날
298,0,경기 주간 날씨
299,0,이베이에서 답장 여부
300,0,폭설 오는지
301,0,경기 부근 온천
302,0,대전 가는 날짜
303,0,어제 받은 메일 수
304,0,폭염주의보 지역
305,0,로그인된 계정
306,0,일년 전에 온 메일 검색하기
307,0,저번 남친 메일 삭제 여부
308,0,회사에서 온 이메일 있는지
309,0,이번 태풍 시작 시기
310,0,담주 면접 날짜
311,0,교수님이 메일 답장하셨는지
312,0,내일 시댁 식구 점심 일정 저장하기
313,0,쉽게 할 수 있는 레져 스포츠
314,0,이번 로또 배당금
315,0,오늘 오후 네시 장보기 일정 추가하기
316,0,이번주 저녁 약속 있는 일정
317,0,폭설 주의보 여부
318,0,연주회 관련 메일 여부
319,0,이번 주 오전 여덟 시 마다 알람 울리기
320,0,다다음달 첫째 주 목요일 오후 일곱시에 약속 등록하기
321,0,현관불 켜기
322,0,거실 에어컨 꺼졌는지
323,0,오후 회의 진행 시간
324,0,스케줄 기념일 일주년 날씨
325,0,안방 조명 끄기
326,0,샤프심 빌려주기
327,0,잔소리하지 않기
328,0,일요일 오전 열시 조카 돌잔치 입력하기
329,0,오늘 부산 날씨
330,0,오늘 남은 약속들
331,0,이번 제헌절 빨간날인지
332,0,한시간뒤 경찰서가기 일정추가 하도록하기
333,0,그 종목 숨겨진 리스크
334,0,받은 메일함에 어제 저녁 여섯시 이후에 온 메일 확인하기
335,0,다음주에 수요일 두시 김대리에게 메일 예약하기
336,0,카드사에서 받은 메일들 삭제하기
337,0,오늘 회식 예약 시간
338,0,확인 안한 메일 수
339,0,부모님이 답장하셨는지
340,0,정관이에게 새로 온 메일 있는지
341,0,사먹기
342,0,아마존에서 답장 왔는지
343,0,오월 십육일 부산 날씨
344,0,다음달 초등학교 동창모임 날짜
345,0,눈 오는 정도
346,0,이번주 목요일 정선 날씨
347,0,친구들과의 계모임 날짜
348,0,오늘 비 멈추는 시간
349,0,이번달 오케스트라 음악회 일정
350,0,공항서 보기
351,0,스탠드 켜졌는지
352,0,내일 날씨 흐린지
353,0,호우 주의보 해제되는 시기
354,0,여기 처음인지
355,0,뉴욕 증시 마감 시황
356,0,내일 아침 조깅 시간
357,0,이번주 토요일 제주도 날씨
358,0,오늘 오전 수원 온도
359,0,대기업 올 채용 관련 기사
360,0,고속도로 현재 교통상황
361,0,다음주 일요일 일정
362,0,화자의 동료들에게 다 메일 보내기
363,0,올해 제일 기온 높았던 날짜
364,0,어제 강수량하고 오늘과 내일 강수량을 비교해서 보여주기
365,0,내년 유월 삼십일 요일
366,0,지난달 강수량
367,0,내일 습도
368,0,더위 기간
369,0,고양이 방 불 수면 모드로 바꾸기
370,0,오늘 기온 추운지
371,0,신용평가가 주식에 미치는 영향
372,0,깐 마늘의 행방
373,0,오늘 현재 강남대로 부근 정체구간
374,0,내생일 음력 날짜
375,0,술맛
376,0,창가 쪽 좌석과 복도 쪽 좌석 중 원하는 것
377,0,아이 백업봇에서 다운받은 전화번호 넣기
378,0,아주 오래 전에 건설된 다리를 무엇이라 부르나
379,0,베란다 조명 색깔 바꾸기
380,0,찜질방 가기
381,0,강원도컵 아이스하키 기사
382,0,욕실 자쿠지 물 가득 채우기
383,0,차가 멈춘 걸 확인하고 건너기
384,0,면허시험장 위치
385,0,방금 온 메일 사진자료 여부
386,0,베란다 불 끄기
387,0,주소록에 있는 사람들이 보내지않은 이메일 모두 삭제하기
388,0,책임지는 사람
389,0,세탁기 여섯시간 후 헹굼 예약하기
390,0,이번주 수요일 일정 한시간씩 늦추기
391,0,회의라는 단어 들어간 메일 모두 중요 메일함으로 옮기기
392,0,스탠드 조명 더 밝게 하기
393,0,부산 가는 비행기 하루 운행 횟수
394,0,택시 앞좌석에서 안전벨트 메기
395,0,지금 뉴욕 날씨
396,0,다음달 봉사 일정
397,0,내일 강수량
398,0,뛰기
399,0,주말 집에서 하는 일
400,0,토요일 포항 날씨
401,0,티비 음소거시키기
402,0,김치 냉장고 오른쪽 칸 숙성 모드로 바꾸기
403,0,눈 내릴 때 우산 쓸지 그냥 맞을지
404,0,요가 배우기
405,0,오늘 회의 시간
406,0,조류 독감 우리나라 발병 여부
407,0,명동 연인들 제일 많이 가는 레스토랑
408,0,졸업 학점
409,0,이번주 금요일 임시공휴일인지
410,0,이번 주 토요일 갈 애견샵 일정 취소하기
411,0,생일날 파스타 먹으러 가기
412,0,오늘 비 오는지
413,0,내일 학교 도착 시간
414,0,빨리 오기
415,0,일반 메일함 중요표시된 메일 분리해 다른 폴더에 넣기
416,0,에어컨 제습 돌려주기
417,0,유다왕 므낫세왕이 왕이 된 나이와 통치한 기간
418,0,수학책을 난로위에 놓으면 되는 것
419,0,웨딩 촬영할 때 도와주기
420,0,오늘 김 대리한테 받은 메일 이 대리한테 전달하기
421,0,올해 첫 눈 소식
422,0,다시 하기
423,0,폐장하기 전에 스키장 가기
424,0,이번달 인천 누적 강수량
425,0,렌즈 교환 시기
426,0,금융공사 모기지론과 은행대출 중 유리한 것
427,0,미세먼지 농도 나쁨일때마다 알려주기
428,0,팔월달에 온 메일 검색하기
429,0,다음 달 춤 연습 일정 횟수
430,0,이번주 스케줄 브리핑하기
431,0,결제괸련 메일 모두 삭제하기
432,0,내일 저녁 동기 모임 지우기
433,0,내일 오후 세시 쌍커풀 수술 일정 추가하기
434,0,화자가 한 것 그대로 쓰지 않기
435,0,모의투자로 시작하고 공부 많이 하기
436,0,실험 보고서 제출하기
437,0,매일 오후 아홉시 일기쓰기 일정 추가하기
438,0,팔월 일일 내 생일 일정 추가하기
439,0,가스밸브 잠그기
440,0,에어컨 켜져 있던 시간
441,0,신호등 깜빡일 때 서 있지 않기
442,0,다음달 일정 개수
443,0,수영장가기 일정 한 시간 앞당기기
444,0,오늘 점심 메뉴 정해 오기
445,0,불꺼진데는 에어컨 끄기
446,0,앞으로 친하게 지내기
447,0,미세먼지 농도
448,0,거실 환기하기
449,0,눈 치우려면 빨리 오기
450,0,오늘 점심식사 예약 시간
451,0,이 메일의 첨부파일 기능에 대한 설명
452,0,엄마에게 마지막으로 메일 온 시기
453,0,따뜻해지면 김밥 싸서 소풍 가기
454,0,서울 시내 지체구간
455,0,다음주 맑은날
456,0,화장실 불 밝게 하기
457,0,내일 오후 서울 날씨
458,0,프로축구 개막일 기사
459,0,내일 밤 별 많은지
460,0,동의대 주변 플레이스테이션방 가는 방법
461,0,주식으로 번 돈 쉽게 쓰는 이유
462,0,청자가 안 오는 이유
463,0,현재 메일에 전체답장하기
464,0,이번 주 비 올 확률
465,0,어제 다섯시에 온 메일 읽기
466,0,조명 어둡게 하기
467,0,메일함에 안 읽은 메일 개수
468,0,즐겨찾기 목록 메일 삭제 여부
469,0,내일 날씨 삼십도 넘는지
470,0,안녕한지
471,0,가스 밸브 열려있는지
472,0,다음 주 추운지
473,0,내일 약속장소 근처 괜찮은 레스토랑
474,0,이번 학기 수업
475,0,오늘 대천 비 내리는지
476,0,이번주 토요일 비 오는지
477,0,배정호가 보낸 편지 휴지통으로 보내기
478,0,더위 그치는 시기
479,0,벤쿠버 날씨
480,0,황사 오는 시기
481,0,다음 달 김연희 과외 날짜
482,0,스피커 볼륨 오십으로 하기
483,0,지난달 온 메일 지워졌는지
484,0,회사주식 코스닥 등록 여부
485,0,입출금이 자유로운 통장 준비하기
486,0,친구 만나기로 한 요일
487,0,어젯밤 온 메일 중 첨부 파일 든 메일 수
488,0,보일러 켜기
489,0,오늘 저녁 먹는 사람
490,0,올해 한국어 정보처리 학회 시작 일시
491,0,세탁기 탈수 끝났는지
492,0,다음주 인천 날씨
493,0,고금리 특판 예금 괜찮을지
494,0,창문 전부 닫혔는지
495,0,어제 온 메일 모두 확인하고 지워줄 수 있는지
496,0,태풍 지속 기간
497,0,거실 실내 온도 삼도 높이기
498,0,비오는 날 어울리는 노래 틀기
499,0,잘라버리고 담 씬부터 가기
500,0,내일 눈 많이 오는지
501,0,애플에서 가입확인 제목의 이메일 왔는지
502,0,이메일 계정 비밀번호 변경 여부
503,0,약속 지키기
504,0,삼십분 뒤 알람 울려주기
505,0,보낸 메일이 수신확인 여부
506,0,알바몬에서 온 메일에 답장 보냈는지
507,0,동아일보 사회면
508,0,귀를 기울여서 듣기
509,0,컴퓨터 전원 끄기
510,0,다다음 달 일정 없는 날
511,0,이번주 메일 가장 많이 보낸 사람
512,0,칠월 삼십일 치과일정 추가하기
513,0,주윤이 회신 여부
514,0,기성품 돋보기 구입하지 않기
515,0,전자회로 숙제 번호
516,0,이번주 남은 날들 스케쥴 지우기
517,0,오늘 날씨
518,0,내일 저녁 스케줄 여부
519,0,내일 소나기 오는지
520,0,다음달 첫째 주 오사카 날씨
521,0,폭염 있는지
522,0,다음주 일기예보
523,0,한달 전 메일 백업 여부
524,0,요번에는 어디든 들어가기
525,0,오늘 약속 시간
526,0,보낸 편지함 확인하기
527,0,여름휴가 기간
528,0,집안 카메라 고장 여부
529,0,세차하기 오늘이 좋은지 내일이 좋은지
530,0,오늘 안개 양
531,0,해운대 연인들 많이 찾는 커피숍
532,0,유월 이십일 고심통 기말고사 일정 추가하기
533,0,은행 신중하게 택하기
534,0,이번 주 수요일 아침 알람 취소하기
535,0,교수님 메일 수신 여부
536,0,친구와 영화보는 시각
537,0,폭염 시작하는 때
538,0,선풍기 켜기
539,0,도둑이 없는 도둑마을
540,0,태풍 소멸되는 시기
541,0,서울 특산품
542,0,스탠드 밝기 높이기
543,0,화자가 다니는 휘트니스 클럽 다니기
544,0,아이티 관련부서에서 메일 왔는지
545,0,거실 빼고 모든 조명 끄기
546,0,다윗이 므비보셋을 보필하게 한 사람
547,0,대출하기
548,0,까쓰오븐 백 삼십 도에 십분 간으로 세팅하기
549,0,어제 학교 메일 온 것 있는지
550,0,긴급메일 들어오면 바로 알리기
551,0,오늘 새 편지 중 아이디 피그바라가 보낸 메일 수
552,0,화장실 습도 조절하기
553,0,스팸편지함 메일 삭제 여부
554,0,가스렌지 지금 켜졌는지
555,0,천사의 반대말
556,0,까쓰 밸브 잠그기
557,0,내일 다섯 시에 만나는 장소
558,0,이번 주중 일정 여부
559,0,제주도 다음주 비 오는지
560,0,팔월 월평균기온 월강수량
561,0,청자의 대학국어 성적
562,0,당장 에어컨 끄기
563,0,티비 꺼졌는지
564,0,술자린 다음으로 미루기
565,0,티비 먹방 틀기
566,0,마블 영화 최신작 개봉일
567,0,오늘 화자의 친구들과 두 시 점심 약속 있는지
568,0,받은 메일함 모두 지우기
569,0,남자친구 사귄 기간
570,0,오늘 자외선 지수
571,0,세탁기 불림 코스 선택 여부
572,0,기억 되돌아 왔는지
573,0,어제 거래처에서 온 메일 확인하기
574,0,다음달 일정 모두 취소 여부
575,0,비 오는 날
576,0,모든 불 다 끄기
577,0,이천십칠년 십이월 서울 평균 기온
579,0,내일 아침 구름 양
580,0,전기포트 차 준비하기
581,0,전체 읽음으로 바꾸기
582,0,이 사람 이메일 주소를 자주 사용하는 이메일 주소에 등록했는지
583,0,아직 일하는지
584,0,다음달 세미나 날짜
585,0,이십분 뒤 현관문 열기
586,0,다음 주 저녁 약속 수
587,0,공기청정기 필터 구매하기
588,0,이번 달 수도 요금
589,0,내일 회의 끝나는 시간
590,0,다음 달 있을 페스티벌 날짜
591,0,오늘 사회면 주요 소식
592,0,김과장님이 메일 읽으셨는지
593,0,친구 결혼식 날짜
594,0,어제 사장님께 메일 보냈었는지
595,0,오늘 눈 그치는 시간
596,0,카페에서 온 메일 읽음으로 처리하기
597,0,현관 움직임 센서 비활성화 시키기
598,0,새벽 강수량
599,0,장사 잘 되는지
600,0,갓길에서 차 세우지 않기
602,0,임시보관함에 작성 중인 메일 모두 삭제하기
603,0,다음주 맑은 날
604,0,부엌 불 꺼졌는지
605,0,새 메일 중 물품발송 이메일
606,0,거실에 난방 켜졌는지
607,0,이번주 맑은날
608,0,수업 끝나면 바로 집에 오기
609,0,내일 회식 추가하기
610,0,이번주 주말 일정
611,0,어제 생활한자
612,0,효과적 업무 수행 방법
613,0,코미디물 여부
614,0,오늘 오전 도착 메일 모두
615,0,이번 주까지 회비 제출하기
616,0,첫눈 내리는 시기
617,0,오늘 강우량
618,0,어제 아침 기온
619,0,우리 학교 건학 이념
620,0,열시 되면 에어컨 끄기
621,0,아기방 온도 이십육도로 맞추기
622,0,다음 주 날씨
623,0,저번주 폭염주의보 여부
625,0,이번주 일요일 결혼식일정 추가하기
626,0,내일 오후 강수량
627,0,먹기
628,0,채널 엠비씨로 돌리기
629,0,이번주 태풍 오는 지역
630,0,이번달 비 오는 날
631,0,화자와 내일부터 운동장 다섯 바퀴 돌기
632,0,내일 오후 세시 시험 모레로 바꾸기
633,0,솔로몬이 여로보암을 죽이려고 할때 숨어 산 곳
634,0,오늘 미세먼지 농도 높은지
635,0,이번달 고모 생일
636,0,이번주 생일파티 장소
637,0,카페인 섭취 많이 하지 않기
638,0,이번 주 가족 모임 시간
639,0,읽은 메일 모두 안읽음 표시로 바꾸기
640,0,항공권 환불 이메일 왔는지
641,0,실시간 주식 등락폭 알 수 있는 방법
642,0,내일 미국 날씨
643,0,경부 고속도로 내 소통 원활 구간
644,0,욕조 비우기
645,0,디드라이브에 있는 음악 틀기
646,0,내일 기온
647,0,이번주 날짜별 최고 기온
648,0,메일에 중요 표시 해서 보내기
649,0,이번주 일요일 여섯시 기숙사 입소 일정 추가하기
650,0,내일 오후 일곱시에 가족 외식 일정 추가하기
651,0,기말고사 시험범위
652,0,어제 보낸 메일 취소하기
653,0,이번 태풍 경로
654,0,빨리 나오기
655,0,전체 조명 다 끄기
656,0,이퀼라이져를 팝 모드로 바꾸기
657,0,크리스마스 눈 오는지
658,0,티비 볼륨 줄이기
659,0,내일 오전 안개 끼는지
660,0,하나님이 다윗에게 성전을 짓지 못하게 한 이유
661,0,구름 양
662,0,폭염 기간
663,0,에어컨 희망온도 이십사도로 하기
664,0,에어컨 사용 시간
665,0,지하 문 잠겼는지
666,0,새벽 안개 많을지
667,0,살 안 빠지게 관리하기
668,0,지금 부산 온도
669,0,다음달 마지막 주 일정
670,0,오늘 저녁 열시 부모님과 영화 보는지
671,0,화요일 아르바이트 시각
672,0,문 닫혀있는지
673,0,커텐 치기
674,0,영상 보고 메리 케이 판단하기
675,0,수요일 점심 회 먹기
676,0,실기실 앞에서 보기
677,0,수입 이십 퍼센트 개인연금에 투자하기
678,0,사 인실 취소하기
679,0,태권도 관련 기사 여부
680,0,오창 내일 날씨 추운지
681,0,자동이체 신청 필요한 것
682,0,헹굼 세 번 하기
683,0,현관 불 끄기
684,0,친구들에게 보낸 메일 확인하기
685,0,작년 내 생일 요일
686,0,이틀전에 온 메일 검색하기
687,0,모레 오후 여행사에 다시 전화하기
688,0,전화 요금 자동 이체 해 놓기
689,0,내일 일정 시작 시간
690,0,학습지도안 선생님께 여쭤보기
691,0,남해안 다음 썰물 시간
692,0,서울 도봉구 지금 비 오는지
693,0,사람이 되기
694,0,이번주 토요일 저녁 약속 여부
695,0,서류 전달 데드라인 이일 미루기
696,0,이따가 컴퓨터 좀 봐주기
697,0,학교에 짐정리 하러 가기
698,0,주식 투자가 운인지 실력인지
700,0,매달 첫째주 수요일마다 건강검진 일정 입력하기
701,0,일곱시 되면 불 끄기
702,0,최근 박찬호 경기 관련 기사
703,0,이번 주 아무 일정 없는 요일
704,0,서울 꽃씨
705,0,한국 프로야구 우승팀
706,0,오늘 서해안 썰물 시간
707,0,부산 이번주 날씨
708,0,커피숍 가기
709,0,어제 밤 열시에 온 메일 내용
710,0,휴지통에 있는 메일 전부 내게쓴메일함으로 복구하기
711,0,이메일 알림 기능으로 이동하기
712,0,시청 로타리 교통 상태
713,0,꾹 참고 살기
714,0,이번주 오전 일정있을때마다 일정 한시간전에 알리기
715,0,거실 티비 월드컵 중계 틀기
716,0,전자레인지 삼십초 돌리기
717,0,다운로드 완료되면 메일 삭제하기
718,0,호텔예약확인 이메일 여부
719,0,작년 서리 가장 많은 날
720,0,저번주 헬스 스케쥴
721,0,외국인 투자자들 움직임 잘 보기
722,0,집안 전체 보일러 들어오게 하기
723,0,야간 셔틀버스 시간
724,0,내일 갈 연주회 시간
725,0,내일 예상 강수량
726,0,오늘까지 마감인 과제 여부
727,0,전기스위치 모두 확인하기
728,0,차단기 올리기
729,0,김철수도 같이 예약하기
730,0,장외 등록 주식 의미
731,0,어제 임시 저장한 메일 수
732,0,칠월에 온 메일 모두 지웠는지
733,0,온도 삼십도 이상되면 알림하기
